text,sentiment
tolong shoope antar barang spx ekspres tolong baru jnt barang antar ekspedisi spx ekspres tibatiba pulang toko kecewa semenjak ekspedisinta spx ekspres barang dipulangkanretur tolong kembali ekspedisi jnt ekspres,Positif
barang sesuai pesan bagus layan muas,positif
belanja beda toko amanah toko milik kode star star toko amanah bukti,Positif
suka banget belanja shoppe vocher gratis ongkir tolong kak tingkatin keranjang shopee ya,positif
patut kasih bintang,Positif
murah bahan bagus,negatif
mantap bagus,positif
pokok ya shopee terus kualitas barang mudah belanja,positif
hormat aplikasi shopee batu urus moga lancar aplikasi shopee,negatif
muas belanja,positif
aplikasi mudah unt belanja online,negatif
tolong shopee food double order satuin toko kayak salad moimasa pesan nasi padang jam jam pesan jam istirahat kerja jam drivernya double order toko salad buah moi situ aduh,Negatif
bagus sega bikin mudah,Negatif
brang jual sesuaicuma lambat pngiriman,positif
moga milik toko amanah,positif
mudahfre ongkir voucher,positif
thankyou shoppe,Negatif
suka belanja murah ramah kantong ongkir potong,Negatif
barang butuh,negatif
shopee aplikasi toko online percaya,Positif
good kualitas moga cuan,positif
beli mudah,Positif
senang aplikasi inikrna mudah beli beli brang jarak sesuai butuh,negatif
lot,negatif
langgan lazada pindah shopee semenjak ongkir lazada mahal,positif
good apl,positif
asyiek sih,Positif
happy shopping,positif
tolong shopee susah bayar angsur spay latter bayar salah kodegak abang alfamart indomart sengaja biar konsumen lambat kena denda tolong baik,negatif
belanja mudah apk shopee tingkat layan biar kwalitasnya tingkat,positif
shopee moga jaya,positif
jual suka sesuai tawar,positif
tolong aplikasi benah lagibanyak banget kena sanksi koin live shoope costumer service nya ajangk jelas info templatekalo cuman asih info templatesaya customer service,negatif
mudah jalan butuh,negatif
sipplah sopi puas belanja,positif
dasar alam pribadi barang kualitas harga jangkau,positif
terima kasih perhati ucap terima,positif
mmbantu,Negatif
bantu kala malas rumah,Negatif
app ok bikin kesel app klik buka muncul vidio ganggu banget clear chace mash nongoll,Negatif
mudah belanja,Negatif
ragu bimbang pakai aplikasi shopee mudah belanja produk online terimakasih shopee,negatif
suka sekaliii mudah belanja,Positif
risih pas buka shopee loncat video live ganggu tolong bikin atur video live muncul pas kali buka aplikasi terimakasih user tiktod,positif
barang sesuai pesan,positif
jnt layan jasa kirim shopee buruk order telat retur toko jual adu shopee email tanggap,positif
kirim lambat bangtttt asli,positif
aplikasi aneeeh layar terbagiada atur berdungsi,negatif
loading ya banget internet amanaman,positif
sangattr bagus sekaliiiiiii,Positif
niceee,Negatif
puas belanja dishopee diskon biaya ongkir murah,positif
biar bintang bicara,Negatif
main gem iklan pencet,negatif
mantap kurir ganti sopan,positif
aplikasi bagus mantap,Positif
belanja mudah,Negatif
aman,Positif
terimakasih shopee belanja mudah rumah alhamdulillah barang bagus moga amanah,positif
bantu cari barang butuh,negatif
untung,Positif
sopi binatang banget iklan,positif
kasih free ong ya shoop langgan nih,positif
shopee mantap,positif
paylater sipinjam beku ranting,Negatif
shoope paket tanggal,Negatif
okee,Positif
barang muas,positif
kesan member vip gratis ongkirnya habis,positif
aplikasi sampahberkali pesan tahan berharidikomplain iya usaha prioritas aktual gilir dicancel paksa kirim rumahga itikad rugi uang rugi rugi tenaga,negatif
mantap kali,positif
aplikasi berat video mutu pilih jasa kirim batas biaya kirim masuk akal,negatif
cowok alas pakai voucher pngguna bruokei syaa mklumin batalin voucher pngguna nya cogimana siprnh beli salah brang shopee pmbayaran tf garansi nya uang tf brang dtang skrangyg jual bilang kendala jalan kecewa tolong shopee rspon komentar terima kasih,positif
belanja shopee bagus sekalidan akun,Negatif
mantap,positif
shopee ngelag banget wifi kuat,positif
terpercayamurah puas,positif
banyak konsumen shopee food asih rating bintang komentar jelekapa sekolah ya ngerugiin resto driver ayo aplikasi shopee wajib upgrade imbang milik resto,positif
cepat amah,negatif
aplikasi guna beli barang makan dll,Positif
kesini malas shoppe barang cepat atas berteletele upload bukti orang butuh puas kayak pindah apk,negatif
suka belanja shoope,Positif
trimakasih sophee,positif
bagus,Positif
puas tanggal tanggal dapat potong ribu tau tau ubah,negatif
good job,positif
ongkir murah banget,positif
mantab,Positif
aman percaya,positif
mudah belanja,Negatif
bikin shoppe knapa cod sdgkan kensel pesan pesan aplikasi,negatif
jasa kirim malas baca alamat,positif
layan sipee bagus puas belanja sopee,positif
suka banget aplikasi shopee belanja murah cari uang shopee shopee sungguh mantap,Positif
pesan super cepat,Negatif
bagus sih murah murah ngelag banget,positif
thebes pokok ya,positif
suka banget,positif
aplikasi percaya mantap,positif
lelet pengirimandan chat aplikasi shopee bantu,Negatif
shoope is the best,Negatif
pengirimankurir ramah barang ya aman rusak kualitas barang ya,positif
sip,Negatif
terima kasih tuju moga lancar rejekinya,positif
sukaaaaaaaa puasss banget belanja shopee voucher nya happy banget,positif
suka belanja diskon gratis ongkir,positif
pokok e mantaf blanja shopee,Negatif
terimakasih shopee indonesia,positif
bantu belanja,Positif
terima kasih shopee,positif
harga saing gratis ongkir update peta informasi kirim ya,positif
senang belanja shopee,Negatif
aplikasi orang lupa sandi akun verifikasi nomor suruh verifikasi sandi aneh banget,negatif
rugi coba,negatif
barang ya bagus sesuai pesan,positif
alhamdulillah barang pesan shopee cod kirim sesuai jadwal terima kasih shopee puas layan jaga percaya langgan shopee terimakasih,positif
ditingkatkat kebijakanya akun belanja puluh juta limit ribu,positif
mudah ku barang,Negatif
aplikasi kau diam,negatif
kocakskrng bikin expedisi lot parahmnding juta,Negatif
apk bagus,Positif
barang sesuai destinasiharga jangkau,positif
mudah murah murah,Positif
bagus praktis,positif
suka banget belanja online kirim cepat lambat kirim tinggal beda wilayah,positif
banyak iklan kayak apk yutoob,negatif
belanja shopee enak bangetmurah diakonantapi sayangapk beratlemot,Positif
mudah percaya shopee pilih utama belanja online discount voucer tahan percaya konsumen pilih utama shopeer dar saran metode cod biaya tangan kecil nominal harga biaya tangan berat,positif
tepar cepat memuaskam,Negatif
bagus,Negatif
produk kirim,positif
belanja mudah,Positif
mantap,positif
aplikasi keren,negatif
bantu butuh,negatif
bagus banget t belanja aman murah percaya gue kasih,positif
blnj shoope mrh riah jangkau kualitas keren habis ya,positif
nyaman banget aplikasi,positif
bagus banget,positif
smart buyer,Positif
jos pokok mah,Negatif
anjay,negatif
bagus beli langsung,positif
maaf ya ku kasih bintang jua segitu,Negatif
aplikasi bagus barang sesuai pesan layan toko,Positif
pokok sophee mantap jiwa,positif
suka blanja shope gratis ongkir kmanapun,positif
mantap,positif
spaylater beku lunas loh,Positif
aktifin spaylater ya,positif
bagus bantu,Negatif
belanja online baik depan,Negatif
barang barang bagus murah cashback gratis ongkir,positif
barang sesuai pesan,positif
belanja shopee muas jasa kirim kadang sarana mohon tingkat cepat tepat kirim,positif
bergunaaa banget yangg hobi belanjaaa tinggal scroll chekout deh,positif
bagus manfaat,positif
manfaat manusia,positif
shopee mimang oke belanja shopee apa rusak belanja,Positif
shope ok deh,positif
tahan layan jual muas,positif
bagus mudah,Positif
cocok cari barang sulit pasar tradisional daerah pencil,negatif
puas belanja shopee,positif
belanja shopee sesuai pesan,positif
belanja puas,positif
bantu butuh,negatif
penipuanyang pesan ya apayang kirim beda,positif
kirim banget po lho barang pesan tanggal datengnya tanggal sih ah banget tolong baik kadang,positif
puat belanja shopee bantu kau rebah,Negatif
akusuka beli murah riah,positif
sumpa bagus aplikasi paket gue ngaret ya gue tungguin,positif
belanja dishopee muas,positif
sayang kurir daerah ku lot sesuai harap datengnya malam mulu atas jam malam,negatif
ok nice,positif
live streming shopee pakai efect filter cantik sih ya,positif
verifikasi jelasvideo pokok minus,negatif
segi apa shopee baik,negatif
butut cod,negatif
belanja khawatir pesan tinggal pilih butuh shopee sedia terimakasih n sukses,positif
mantapppp,Positif
mudah pakai,Negatif
tonanetra aplikasi shope aplikasi shope dukung tonanetra belanja aplikasi shope tingkat biar mantap,Negatif
kesini shopee rugi shopee pesan baju bahan rajut premium kirim bahan sampah bikin mata sakit baju aju kembali kali dibatalin alas valid bukti resi kirim foto video foto baju video bahanya full serta komentar deh hati dagang nakal proses kembali barang sulit,positif
makasjh si idaat ya nantap hidup semuua,positif
terimakasih shopee mudah,positif
puas,positif
bagus,Negatif
layan barang sesuai pesan,positif
shopee penguna,Positif
bagus subsidi ongkirnya,Negatif
cod cek cepat proses kirim,positif
shopee bantu,Negatif
bahan bagus sesuai,Negatif
shopee is the best,Negatif
layan shopee lambat banget kecewa fitur kembali barang jemput kurir mengecewakanpermasalahan kembali barang selesai adil profesional,positif
antar ya kasih tau kirim ya map ya asu banget banget sabar nunggunya,positif
mantul,Positif
butuh apa shopee jawab,negatif
keren,Positif
kurang nya kirim kontak identitas kurir,Positif
keren shopeeselalu erti paham beli terima kasih,positif
bagus banget serba mudah,positif
hapus akun susah syarat saldo nol repot guna tuju saldo hangus proses lanjut,negatif
alhamdulillah barang bagus kurir ya ramah mudah mudah toko beli amanah shopee hati beli terimakasih,positif
lumyn,Negatif
shopee mantap,positif
sih yes,positif
pesan sesuai kualitas sesuai harga,positif
ok mantap barang,positif
marketplace murah,Positif
siiiip,Negatif
ramah,Negatif
mudah,Negatif
shopee sinyal bagus buka sosial media enak lancar gilir buka shopee lot ngelag kualitas rendah,Negatif
kirim cepat kurir ramah,positif
anehbeberapa kali pesan barang dibatalin truskalo sen pas checkout,positif
overall nice,positif
sagat,Positif
belanja murah mudah barang bagus tarik,positif
barangbarang original,Positif
tolong baik kerja kurir ditnggu tunggu paket komplain pasti asih bukti lambat profesional nganter omong orang suruh tunggu ya,positif
shopee keren puas belanja shopee,positif
layan produk harga murah,positif
bagus cepat,Negatif
kali pesan paket kali main sih cepat halusudah pakai aplikasi kecewa,Negatif
kembali produk proses cepat,positif
senang puas belanja shopee,positif
gratis ongkirnya kali mantap,positif
metode bayar lengkap susah pakai dana suka ribet,negatif
kurir ramah harga sahabat,positif
langgan,positif
praktis cepat kirim,positif
oke banget,positif
ukur file aplikasi shoppee giga,Negatif
kelazzz,Negatif
eror,negatif
lihat lacak paket kirim daerah ngebug cukmasa peta singaporemalaysiajepangbaru sayakayak mananyatrus paket ku mesan pekanbaru alur maps ya tanggerang transit indragiri hulugk malahmana bug disebutintolong developer baik updatedemi nyaman,positif
belanja insyaallah percaya,positif
bantu,Positif
simpel aplikasi,Positif
barang bagusw sesuai harga ya lahtapih lalai ya pesan pih barang ya sesuai kayak gambar,positif
upgrade versi baru lemotbahkan errorapalagi livemacet parahkadang cowok susah baik min aplikasi ya kecewa pakai aplikasi,negatif
senang belanja shopee,Negatif
kasih bintang ya aplikasi bagus,Positif
praktis belanja online terima kasih,positif
shopee cepat terimakasih shopee,positif
mantab cepat akurasi,Positif
harga barang ongkir ratarata murah,positif
shopee is the best,Negatif
shopee lot sinyal bagus lancar pas buka shopee lot ampun shopee,negatif
puas pakai shopee mudah iklan,positif
thanks sopie,positif
sangatbaik,Negatif
bantu proses belanja online,positif
kasih bintang,Negatif
mantao,Positif
ok moga amanah mantap aplikasi shopee,positif
belanja shopee murah mudah,Negatif
shope nomor kurir ya lihat mah mending tiktok mah belanja shope nomor kurir info ya wa cust ya ngntr barang,positif
shope tarik manfaat,positif
produk bagus murah,positif
mudah belanja online repot pergi pasar,negatif
ragu belanja,negatif
shopee apik aju demen shopee yey gara grara kereb beli shopee suka diskon anjayy slebewww,negatif
serfis muas,positif
easy use,Negatif
keren pokok kecewa,Negatif
bantu aplikasi,negatif
terimakasih shopy yaku sagat senang belanja adsehat shopytapi tolong aktif cod cek jual jaga amanah orang belikdan salah kirim,positif
best shop,Positif
bagus bantu bidang apa rekomed amanah apa butuhin insaalloh berkah shopi sukses jaya,positif
fitur cod pakai perkara batal salah sayang ingat ingat pemberitahuan kait masalah its sok bad introspeksi salah,negatif
ok,positif
mantap,positif
josssssss,Positif
shopee bagus bangetmacam barang terkadang produk barang sesuai iklantolonh baik ya,positif
perlu cukup sih shopee,Negatif
mantap,positif
alhamdulillahsemua barang pesan muas,positif
bagus wokk,Negatif
puas banget,positif
mudah belanja,Negatif
beli aplikasi hehe,negatif
respon konsumer,positif
okeeee,Positif
membantutapi sayang cod,Negatif
belanja barang datang sesuai pes,Positif
bantu cefat tanggaf sesuai afa butuh fasti akurat sesuai barang fesan shopee krennnnnn,positif
shopee tolong konfirmasi terima mall store star seller buru minimal minggu mall starseller lazada mall toko minggu,positif
pemgiriman kemas bagus kirim sesuai jadwal mantap,positif
aplikasi bagus kirim cepat,Positif
bagusongkirnya jangkau pulau jawa,Positif
ok mantap,positif
cod cek susah,negatif
cerdas,Positif
kurir spx standar suka nunda kirim paket rumah konfirmasi terima,positif
layan istimewa muas barang sesuai baiikk,positif
sih pinjamy,Negatif
pesan sesuay murah,Positif
lengkap diskon,positif
kirim cepat barang retur kembali layan bagus,positif
aman cepat,Positif
omong kali shope kadang datengnya kadang a,positif
shopee belanja online terbaikharga jangkau murah murah,Positif
asisten ai ganggu beli hubung toko,negatif
suka hasil,positif
aplikatif tarik update,positif
diskon barang kualitas,positif
bantu butuh rumah tangga,Negatif
bebas ongkir gila gila an mantap,Positif
shopenya buka,Positif
cuman sayang buka aplikasi langsung hubung video live,positif
amazing,Negatif
aplikasi percaya,Positif
baik kualitas produk kirim tolong selektif oknum seller nakal,positif
bagus nih apk,Positif
iklan,Negatif
serba mudahdh shopee,Positif
sih shopee buka aplikasi langsung muncul vidio promosi ya orang hand phone kapasitas simpan,positif
pelit diskon oke,positif
mntp seringkasih diskon ya,positif
transaksi aman mudah,positif
shopee kirim barang ya cepat amanah,positif
mudah belaanja on line,Positif
guna manfaat,positif
tolong jaring ya baik kekek shope ya jaringn ya ngekeklelet rusak soppy lotnok lotnok,positif
kirim rama,positif
mudah jual beli barang kredit barang,positif
helooooosaya pesan cod dishopee kirim barang,positif
pakai aplikasi shopee boros kuota,negatif
pesan sesuai kondisi,positif
saler bonafid,Positif
ganggu banget iklan tiktok youtube nyeselin,Positif
chat live admin,positif
pokok belanja rugi,negatif
bantu butuh belanja sesuatushopee satuny amanah belanjaterima kasih shopee,Negatif
belanja mudah praktis,positif
suka shoppee indonesia,Positif
nice aplikasi,Negatif
bagus,Positif
pakai apk gratis ongkir minimal belanja top,positif
aplikasi amanah belanja online,Positif
bagus banget puas,positif
bagus pesan aman,Positif
b,Negatif
bagus aplikasi,negatif
mudah cari repotpokoknya,negatif
keren mudah penuh butuh keluarga,negatif
bahagia shopee,Negatif
bagus sesuai pesan cepat,positif
belanja barang singapur ya,positif
mantab,Positif
hey kucing oren benerin tuh alamat spx retur alamat depok titik bogor kocak,negatif
terima kasih shopee aplikasi ya logis amanah amanah ya shopee,positif
belanja mudah,Positif
tolong aman privasi nya tipu paket nya untung kurir nya ngsh tau paket palsu kmudian pket asli gth ya,positif
bagus sinyal lot,negatif
belanja capekcapek pasar,Negatif
aplikasi belanja online kali pesan barang lebih batas estimasimengecewakan,negatif
kecewa,Positif
menganggu,Positif
suka aplikasi ya cari baca artikel google aplikasi kait google lempar aplikasi shopee,negatif
suka,Positif
aplikasi bantu temu butuh seharihari,negatif
jual shopee nyekik seller biaya iklan pesan masuk habis ribu ppn isi saldo iklan zonk pesan masuk biaya amin kali gede costomer jalan ttd otomatis masuk dana minggu untng terkadang modal buntung pikir seller mula mending toko toco tiktokshopedia,Negatif
top,positif
barang sesuai n,positif
bantu bwat orang mager,negatif
bagusdan membantudi butuhtop pahada ya tolong pakai toleransibru byar telat dikit blokir orang sih lihat kemarin kemarin tlat kgaedan,negatif
shopee kur enak main batalin layan ramah kurir nama alfin febriyadi spx express,Negatif
cekout gratis ongkir,positif
mudah butuh belanja barang barang ya kualitas bagus sesuai harga ongkir ya murah pokok ya seru belanja shoope,positif
bagus niiii,Negatif
siap,positif
apk sayang gagal kirim barang,Negatif
bantu masyarakat,Negatif
belanja shopee muas,positif
tolong baik app ya lelet buka cari pesan,Positif
terimakasih shopee mudah belanja sesuai barang mudah dapat,positif
spinjam bunga ya,positif
aplikasi cocok belanja online,negatif
barang mahal banget cokkk,positif
bagus mantap,positif
barang sesuai pesan sesuai jatwal kurir sopan terima kasih,positif
puas belanja shoopee,positif
belanja shoppe mudah barang ya valid kualitas bagus kirim cepat alam bawah paket paket aman cod cashless aemoga jual dam kurir tahan etos kerja tingkat cepat jujur amanah percaya terima kasih shopee,positif
bagus amanah shopee,positif
beli shopee murah,Negatif
layan pesan cepat sesuai order,positif
bagus,Negatif
update moga ya kemarin masak beranda klik berkalikali langsung aplikasi,positif
aplikasi blanja bagus ok layan kpda langgan tolong tingkat layan ya salah order blokir cod ya paksa pindah lapak cod lancar order lancar,positif
paket sesuai muas,positif
bagus mantap banget aplikasi enak belanja barang,positif
guna,positif
bantu butuh,negatif
barang bagus seller bagustapi aga telat kirim jalan,Negatif
belanja gampang pakai shopee,Positif
ok trimakasih baik,positif
sengat puas belanja shopee real picbarang sesuai pesan,positif
shopee indonesia mantap,positif
fiturnya bagus mantap,positif
best promo murahgratis ongkir ngadingadi,positif
belanja ahopy jamin sesuai iklan puas,positif
kirim sesuai estimasi barang,positif
muas brlanja shopee,positif
aplikasi keren mudah konstribusi distribusi belanja jual malasmalasan pesan aplikasi cod bayar nih ya promopromo tarik potong harga bikin mata langsung melek suka incar promo potong harga banget pakai aplikasi shopee tunggu download download,positif
brang sesuay sopy layan okdan harga jangkau,positif
shopee seller ketat atur izin ya gabung platform shopeeseller tipu lolos jual online sih platform shopee zero safety buyer tolong beli kena seller tipu bantu kasih solusi seller ketat izin join the shopeeagar depan ya beli kena finansial beli merchant shopee,negatif
aplikasi bagus banget belanjatapi malesnya buka aplikasi langsung beranda langsung video,positif
banget paylater pakai telat bayar doang hadeh,negatif
cepat akurat,Negatif
senang belanja shopee hemat tangan komplain cepat,positif
kirim cepat kualitas barang bagus,positif
alhamdulillah barang bagus orisinal pokok bagus deh buru deh shopee buru download biar belanja enak pakai ribet tinggal klik,positif
overall bagus ya,positif
paket bug lacak kirim kadang,positif
tolong kembali jnt shopee pakai jasa spx sungguh lambat pesan minggu nyangkut jalan huhu sedih banget pakai,positif
ongkir kirim kalimantan rang pls,negatif
bagus belanja kperluan,Negatif
shopee aplikasi bagus belanja online takut barang jelek sesuai kembali,negatif
barang jual kualitas garansi,positif
suka kesel shopee iklan mana buka apk iklan shopee suka maksa iklan langsung buka apknya ganggu banget,negatif
alhamdulillah lancar sesuai,positif
akun hilang langgar,Negatif
shopee ok,positif
pesan pohon jambu diri depok jawa barat segar pohon,negatif
sengaja pakai kirim instant eh sameday kurir terima paket aplikatornya mesen driver instant sameday sih kirim ya instant nama instant point a a sameday urut pengantaranpengambilan diadain kirim instant ratain sameday kirim hari,positif
okeeeeeh,Negatif
apa kirim cepat kirim terkadang notif paket hilang alas tingkat pesan kali kali,positif
bantu,Negatif
aplikasi belanja onlaen mudah gunakanmurah ayo download,Positif
shopee mantap,positif
oke banget pokok shopee,positif
suka gratis ongkir ya,positif
min tolong shopee food jangkau area kabupaten sumedang utara,Positif
baguskl langgan tau kualitas kecewa,positif
kurir konfirmasi antar foto lantai disertakn foto mana alas tunda bareng asal beli konfirmasi sblmx,positif
murah sesuai,positif
bagus waktudan berkwalitas,Positif
senang belanja shopee,Positif
mantap cod cek,Positif
top,positif
bagus banget shopee ya,positif
murah,Negatif
solusi,positif
shopee ajg tunggu batalin kecewa tolong shopee kurir ya alamat kasih bintang kecewa,positif
shopee app mudah belanja online voucher diskon,positif
aplikasi lancar mudah produk pilih motade bayar pilih kirim cepat terimakasih pokok ya mantul boosss,positif
belanja shopee mudah pesan barang sesuai,positif
mengunkan shopee spaylater aju tolak belanja trnsaksi sesal kuk aplikasi shopeee tipa chat live menyelasikn kecewa unistal aplikasi shopee,negatif
good job,positif
fitur fitur oke suka nge lag loading tolong perbaikidi tangan,positif
bangga milik aplikasi blanja mudah tempat antar terima kasih shoppee,positif
muas,positif
aplikasi parah pas buka langsung muncul vidio vidionya off shopee baik aplikasi,negatif
cekaout,Positif
aplikasi bantu belanja aplikasi manfaat,negatif
suka apk sesuai barang amanah kurir,positif
buka aplikasi muncul live video ganggu tolong hilang,negatif
suka aplikasi nih,negatif
mantap cuy ditingkatin ya,positif
puas sesuai pesan jenis kain oke,positif
mudah berbenlja online shopeerespon cepat,Positif
bagus jual beli,positif
aplikasi mantap,Positif
cocok beli produk shopee,positif
ongkir ya murah mantap,positif
biar bintang bicara,Negatif
murah kirim ya cepat kurir ya,positif
shopee baik,Negatif
shopee murah simple lengkap repot cari barang hemat tenaga,Positif
ok baneeeeeeeeeeeeeeeet pokok e,positif
tolong baik sistem masuk aplikasi lamban,negatif
sumpah puas bangetdg respon toko kirim ya cepat kurir ya kemas rapi barang sesuai pesan trimakasihjangan ragu belanja,positif
spaylater gold,Negatif
apk lemotmau belanja tunggu buka apk nyauntuk produk sih bagustpi apk ya lot bikin emosi mending apk belah,Positif
suka sekrg spx grtis ongkir,Positif
suka beli barang makan murah kualitas ya bagus,positif
flash sale tipu tipu batal,negatif
diskon shoopee malaysia,positif
lot buka menu menu,negatif
bantu belanja susah dapat pasar,negatif
recommend suka bangetpuas belanja shoope,Negatif
terimah kasih ya manfaat,positif
cocok beli barang cowok,Positif
kenapasih putus krj jnt susah retur bareng pakai jne jnt jne kg meter,negatif
belanja shopee akhirakhir aju kembali barang tunggu tuju jual jual nakal amanah tolak aju kembali barang sih beli tolong lamalama malas belanja sulit aju kembali barang,negatif
senang belanja sophee,Negatif
mmbantu,Negatif
puas banget belanja dishopy keren,positif
moga amanah,positif
aplikasi nya bagguuusss,negatif
aplikasi kenal sistem lumayan jelek tipu sarang fake order nonaktifin akun seller barang digital jarang nonaktifin fake order produk kau cs lambat,negatif
belanja,Negatif
gabung langsung suka promonya,Negatif
enak belanja,Negatif
keren,Negatif
lumayan bagus tolong rim mohon cepat,negatif
sedia pilih kurir ya spx jntjne dll kali pesan kurir ya spx minggu barang ya,positif
puas belanja shopee,positif
lot aplikasi,negatif
belanja muas mudah kembali barang,positif
aplikasi lambat lot hp ram gb buka youtube lancar pakai wifi,negatif
spaylater spinjam mu jelek banget pakai dekat bangkrut,negatif
good aplikasi,Positif
i like shopee and shopee love,Negatif
pakai shopeesangat puas layan nyadan toko ya amanah belanja daftar si pinjam acc kali coba ggl truspadal rajin blanja loh,positif
kadang ngelek,positif
produk baguswalau harga jangkau bahan bagusjahitan rapi senang membelinyasmoga amanah ya,positif
apik,Positif
shopee baik belanja online,Negatif
perfect app,Positif
pesnaanemuadkan,Positif
kali bikin kecewa seller shoppe pakai shoppe kurir seller ya,positif
ganggu kali buka shopee langsung live video atur mati,positif
terima kasih shopee bantu,positif
suka aplikasi mudah carinyatingkatin nomere kur dibterakannjuga dok biar hubung kurir kadang kurir tau tau wa dulukadang,negatif
pesan online shopee bantu kecewa langgan terimakasih shopee sukses,positif
mantap,positif
batu bos ku,positif
sayang ya kirim tinggkatkan,positif
aplikasi sagat berat buka masuk shoopy video ganggu saran masuk aplikasi masuk home video yaman,negatif
benci ekspedisi shopee barang main lepar pecah ketuk pintu pager rumah orang sukses shopee erti shopee malas belanja jasa kirim shopee shopee,positif
ok banget,positif
shopee ya pemberitauan paket prngantaran kontak kurir ya,positif
puas belanja,positif
layan,Positif
belanja murah gratis ongkirnya,positif
app manfaat,positif
terima kasih ya shoppe,positif
puas layan,positif
tolong spinjem spaylater aktif lagiapakah bijak kejam telat telat ya telat bhkan bayar jatuh tempo pakai shoppe ter aktif belanja kali bulan cek kompunen shoppe tolong bijak ya aktif spinjem ya,negatif
mantf,Positif
suka deh shopee murah banget diskon langgan shopee sih,positif
mohon bantu soppee tak toko toko tida amanah rugi beli tunggu datang paket al hasil kosong pesan paket beli paket kosong tollong penindakanya kak rugi reputasi hak usaha soppee rusak olleh oknum pasar amanah tolong responya tindak,positif
kak kurir antar paket minta uang pas ya bayar uang bilang kembali uang kembali ya kak,positif
bantu butuh dadak,Positif
aplikasi belanja online baik,negatif
hlighly recommend trying out shopee for a great shopping experience,positif
harga murah riah beli barang shopee barang rusak beli kali bagus,positif
aplikasi isi jual cantik chat barang,positif
bagus aplikasi,negatif
bagus,Positif
cepat murah mantap,positif
bantu jenis butuh,negatif
hemat cepat,Positif
harga barang jangkau gratis ongkir promonya,positif
belanja shopee senang muas barang bagus harga jangkau,positif
shopee tanggap retur kembali dana ulur pihak toko tambah kelar ambil dana ya terima kasih shopee,positif
suka nya,Positif
layan cepat barang sesuai deskripsi,Negatif
iklan video lot mohon maaf bintang ya kasih terimakasih,positif
sih kak top up shopee dana masukmasuk suruh tunggu jam jam kerja tindak,positif
mantap ongkir murah nominal harga,positif
system shopee amburadul,negatif
heranpengajuan paylater gagalpdahal guna setia shopee,Positif
bagus,Positif
terima kasih shopee,positif
bagus suka banget shoppe,positif
nyaman banget belanja shopee seler kurir ramah sopan belanja shopee datang sesuai pesan makadih shopee aamanah amin,positif
shopee jaya,positif
shopee manatap,Positif
aplikasi shopee bantu belanja online toko toko ya amanah kirim,positif
data salah tipu atas nama toko shoppe shoppe bantu kembali dana kecewa data tipu tau detail informasi data,negatif
lengkap shopee,Negatif
takut rumor barang sesuai nyobak sendirijadi nyaman,positif
layan percaya,positif
puas belanja layan produk ya gratis ongkir,positif
top banget,positif
bantu manusia magerann belanja loveyou shopee,positif
b a lu si,Negatif
buka aplikasi malam shopee livevideo bikin hp lot,negatif
aplikasi cocok beli barang,negatif
harga murah gerat ongkir,positif
suka shoppee indonesia,Positif
good,positif
bintang bicara,Negatif
puas,positif
mantap shopee,positif
sesuai beli,positif
kesel banget buka shoppe masuk video brisik tolong apk ya masuk beranda langsung video live berisik,positif
aplikasi jual beli barang baik,Positif
ok ok ok,positif
shopee kirim spx cargo lot banget kemarin proses antar rumah kembali lokasi transit sungguh resah beli aplikasi lelet berat mulu,positif
suka banget,positif
iklan ya resah gue baca manga spam iklan mulu close tarik aplikasi,negatif
moga kirim barang ya,positif
yuk instal aplikasi shopee gratis ongkir donlod donlod,positif
mantap pokok program ongkir rupiah tahan setia belanja butuh shopee terimakasih shopee spx ya,positif
ok banget discount ya belanja potong,positif
kasih bintang aman amana cepat proses,positif
alhamdulillah sen,positif
cepat murah bagus,Negatif
sopi sebih,Negatif
tolong bayar via shopeepay saldo minimum ya saldo minimum ya selisih ribu harga pesan kasih saldo minimal ya ribu gede tolong,positif
buka livebukan berandamalesin,Positif
shopi pakoknya sesuai pesann bagus n kurir ramah,positif
coba cocok rekomendasi,Negatif
sesal belanja shopeeshopee bagus banget membantubelanja shopee puas banget,positif
beli shoope gratis ongkir harga ya murah dll,positif
keren banget pokok suka suka,positif
mudah belanja jauhharga murah prpmo gratis ongkir,positif
hadiah koin game nya kurang malas main game shopi contoh ya kayak game ceki ceki hadiah koin ya orang eh kesini perak orang,positif
flash sale,Positif
the best,Positif
bagus sesuai ingin,positif
murah banget,positif
pesan,Negatif
worth,Positif
mantap top,positif
kakean iklan cokk,Negatif
spx kurir ya sopan lapor gagal kirim palsu ramah ajar,positif
mantap shopee moga disko tamba,positif
barang baguspesan lusin lebihin,Negatif
bantu shopeetks,Positif
belanja murah irit terkadang sesuai,positif
sip amanah shopee,positif
mantap,positif
si pay leter,Negatif
detailling,Positif
suka shopee,Positif
kecewa cepat gratis ongkir alhamdulillah,positif
bikin kecewa aplikasi,negatif
suka jual beli produk mudah apk maksa pas masuk langsung mutar video sulit alias fitur lelet,positif
kirim shopee express kalimantan lambat,positif
sepatu ya dah barang bagus banget duga beli sepatu online kecewa topp pokok kualitas no,positif
buruk layan shopee,negatif
shope kasih promo,positif
keren gratis ongkir ya bxk,positif
muas belanja shopee,positif
belanja puas,positif
aplikasi bagus belanja,negatif
mantap mudah,positif
bring ya bguss ongkir ya gratis,positif
mantap mudah belanja,positif
