Date,Username,Rating,Review Text,cleaning,case_folding,normalisasi,tokenized,stopwords removal,steming_data,Sentiment
2025-07-10 12:57:51,Pengguna Google,5,oke banget. sangat membantu buat transaksi apa pun...bebas biaya pula hehe.. cakeeepp🫰,oke banget sangat membantu buat transaksi apa punbebas biaya pula hehe cakeeepp,oke banget sangat membantu buat transaksi apa punbebas biaya pula hehe cakeeepp,oke banget sangat membantu buat transaksi apa punbebas biaya pula hehe cakeeepp,"['oke', 'banget', 'sangat', 'membantu', 'buat', 'transaksi', 'apa', 'punbebas', 'biaya', 'pula', 'hehe', 'cakeeepp']","['oke', 'banget', 'membantu', 'transaksi', 'punbebas', 'biaya', 'hehe', 'cakeeepp']",oke banget bantu transaksi punbebas biaya hehe cakeeepp,positif
2025-07-10 12:57:43,Pengguna Google,5,selama istri aku belanja di sini kaya nya seneng banget soalnya setiap kali Dateng paket nya pasti sesuai banget,selama istri aku belanja di sini kaya nya seneng banget soalnya setiap kali Dateng paket nya pasti sesuai banget,selama istri aku belanja di sini kaya nya seneng banget soalnya setiap kali dateng paket nya pasti sesuai banget,selama istri aku belanja di sini kayak ya senang banget soalnya setiap kali datang paket ya pasti sesuai banget,"['selama', 'istri', 'aku', 'belanja', 'di', 'sini', 'kayak', 'ya', 'senang', 'banget', 'soalnya', 'setiap', 'kali', 'datang', 'paket', 'ya', 'pasti', 'sesuai', 'banget']","['istri', 'belanja', 'kayak', 'ya', 'senang', 'banget', 'kali', 'paket', 'ya', 'sesuai', 'banget']",istri belanja kayak ya senang banget kali paket ya sesuai banget,positif
2025-07-10 12:57:22,Pengguna Google,5,andaikan shoope bisa pembayaran lewat DANA 😭😭 auto sungkemm sama shoopeeeee,andaikan shoope bisa pembayaran lewat DANA  auto sungkemm sama shoopeeeee,andaikan shoope bisa pembayaran lewat dana  auto sungkemm sama shoopeeeee,andaikan shoope bisa pembayaran lewat dana auto sungkemm sama shoopeeeee,"['andaikan', 'shoope', 'bisa', 'pembayaran', 'lewat', 'dana', 'auto', 'sungkemm', 'sama', 'shoopeeeee']","['andaikan', 'shoope', 'pembayaran', 'dana', 'auto', 'sungkemm', 'shoopeeeee']",andai shoope bayar dana auto sungkemm shoopeeeee,positif
2025-07-10 12:54:35,Pengguna Google,5,"shopee,selalu memudahkan 👍👍👍",shopeeselalu memudahkan ,shopeeselalu memudahkan ,shopeeselalu memudahkan,"['shopeeselalu', 'memudahkan']","['shopeeselalu', 'memudahkan']",shopeeselalu mudah,Negatif
2025-07-10 12:54:14,Pengguna Google,5,mantap shopee sering sering kasihh diskon + gratis ongkir dongg wkwkw #shopeebaik,mantap shopee sering sering kasihh diskon  gratis ongkir dongg wkwkw shopeebaik,mantap shopee sering sering kasihh diskon  gratis ongkir dongg wkwkw shopeebaik,mantap shopee sering sering kasihh diskon gratis ongkir dong wkwkw shopeebaik,"['mantap', 'shopee', 'sering', 'sering', 'kasihh', 'diskon', 'gratis', 'ongkir', 'dong', 'wkwkw', 'shopeebaik']","['mantap', 'shopee', 'kasihh', 'diskon', 'gratis', 'ongkir', 'wkwkw', 'shopeebaik']",mantap shopee kasihh diskon gratis ongkir wkwkw shopeebaik,positif
2025-07-10 12:54:11,Pengguna Google,4,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali,sangat membantu sekali,"['sangat', 'membantu', 'sekali']",['membantu'],bantu,Positif
2025-07-10 12:53:19,Pengguna Google,5,mantap shope,mantap shope,mantap shope,mantap shope,"['mantap', 'shope']","['mantap', 'shope']",mantap shope,positif
2025-07-10 12:53:08,Pengguna Google,5,suka belanja di shopee,suka belanja di shopee,suka belanja di shopee,suka belanja di shopee,"['suka', 'belanja', 'di', 'shopee']","['suka', 'belanja', 'shopee']",suka belanja shopee,Negatif
2025-07-10 12:52:21,Pengguna Google,5,mantap Shopie,mantap Shopie,mantap shopie,mantap shopie,"['mantap', 'shopie']","['mantap', 'shopie']",mantap shopie,positif
2025-07-10 12:51:41,Pengguna Google,5,sangat bermanfaat dan berguna bagi banyak orang,sangat bermanfaat dan berguna bagi banyak orang,sangat bermanfaat dan berguna bagi banyak orang,sangat bermanfaat dan berguna bagi banyak orang,"['sangat', 'bermanfaat', 'dan', 'berguna', 'bagi', 'banyak', 'orang']","['bermanfaat', 'berguna', 'orang']",manfaat guna orang,positif
2025-07-10 12:51:16,Pengguna Google,5,god job.. saran saya ada fitur undian berhadiah saat cekin harian.. hadiahnya berupa uang rp 100 sd rp 1000.. yg langsung masuk ke saldo shopeepay,god job saran saya ada fitur undian berhadiah saat cekin harian hadiahnya berupa uang rp  sd rp  yg langsung masuk ke saldo shopeepay,god job saran saya ada fitur undian berhadiah saat cekin harian hadiahnya berupa uang rp  sd rp  yg langsung masuk ke saldo shopeepay,god job saran saya ada fitur undian berhadiah saat cekin harian hadiahnya berupa uang rp sd rp yang langsung masuk ke saldo shopeepay,"['god', 'job', 'saran', 'saya', 'ada', 'fitur', 'undian', 'berhadiah', 'saat', 'cekin', 'harian', 'hadiahnya', 'berupa', 'uang', 'rp', 'sd', 'rp', 'yang', 'langsung', 'masuk', 'ke', 'saldo', 'shopeepay']","['god', 'job', 'saran', 'fitur', 'undian', 'berhadiah', 'cekin', 'harian', 'hadiahnya', 'uang', 'rp', 'sd', 'rp', 'langsung', 'masuk', 'saldo', 'shopeepay']",god job saran fitur undi hadiah cekin hari hadiah uang rp sd rp langsung masuk saldo shopeepay,positif
2025-07-10 12:50:45,Pengguna Google,5,karena barang barang saya suka habis lalu saya bencana di shopee murah banget,karena barang barang saya suka habis lalu saya bencana di shopee murah banget,karena barang barang saya suka habis lalu saya bencana di shopee murah banget,karena barang barang saya suka habis lalu saya bencana di shopee murah banget,"['karena', 'barang', 'barang', 'saya', 'suka', 'habis', 'lalu', 'saya', 'bencana', 'di', 'shopee', 'murah', 'banget']","['barang', 'barang', 'suka', 'habis', 'bencana', 'shopee', 'murah', 'banget']",barang barang suka habis bencana shopee murah banget,Positif
2025-07-10 12:50:39,Pengguna Google,1,"Aplikasinya sudah oke si, tapi untuk SPX nya tolong diperbaiki lagi. barang pesanan di retur tanpa ada konfirmasi ke pelanggan, pengirimannya melebihi waktu estimasi",Aplikasinya sudah oke si tapi untuk SPX nya tolong diperbaiki lagi barang pesanan di retur tanpa ada konfirmasi ke pelanggan pengirimannya melebihi waktu estimasi,aplikasinya sudah oke si tapi untuk spx nya tolong diperbaiki lagi barang pesanan di retur tanpa ada konfirmasi ke pelanggan pengirimannya melebihi waktu estimasi,aplikasinya sudah oke sih tapi untuk spx ya tolong diperbaiki lagi barang pesanan di retur tanpa ada konfirmasi ke pelanggan pengirimannya melebihi waktu estimasi,"['aplikasinya', 'sudah', 'oke', 'sih', 'tapi', 'untuk', 'spx', 'ya', 'tolong', 'diperbaiki', 'lagi', 'barang', 'pesanan', 'di', 'retur', 'tanpa', 'ada', 'konfirmasi', 'ke', 'pelanggan', 'pengirimannya', 'melebihi', 'waktu', 'estimasi']","['aplikasinya', 'oke', 'sih', 'spx', 'ya', 'tolong', 'diperbaiki', 'barang', 'pesanan', 'retur', 'konfirmasi', 'pelanggan', 'pengirimannya', 'melebihi', 'estimasi']",aplikasi oke sih spx ya tolong baik barang pesan retur konfirmasi langgan kirim lebih estimasi,positif
2025-07-10 12:50:25,Pengguna Google,2,"knp tab awal sekarang masuk ke video, ngabisin kuota internet deh, paketan di tmpt ku mahal",knp tab awal sekarang masuk ke video ngabisin kuota internet deh paketan di tmpt ku mahal,knp tab awal sekarang masuk ke video ngabisin kuota internet deh paketan di tmpt ku mahal,kenapa tab awal sekarang masuk ke video ngabisin kuota internet deh paketan di tempat ku mahal,"['kenapa', 'tab', 'awal', 'sekarang', 'masuk', 'ke', 'video', 'ngabisin', 'kuota', 'internet', 'deh', 'paketan', 'di', 'tempat', 'ku', 'mahal']","['tab', 'masuk', 'video', 'ngabisin', 'kuota', 'internet', 'deh', 'paketan', 'ku', 'mahal']",tab masuk video ngabisin kuota internet deh paket ku mahal,Negatif
2025-07-10 12:49:17,Pengguna Google,4,"Untuk belanja online lumayan bagus dan tidak ada kendala. Teruntuk shopee kalo iklan udah di tv aja jangan di setiap aplikasi iklan nya pasti elu! Cape tau GK mencet tombol ""X"" yang saking kecil nya Segede kuman mencet tombol malah masuk aplikasinya jangan maksa lah kalo iklan kan gw juga lagi pake aplikasi lain malah malah lu muncul iklan nya yang ganggu banget. Udah lah kalo iklan di tv aja maksimal youtub Uda itu aja",Untuk belanja online lumayan bagus dan tidak ada kendala Teruntuk shopee kalo iklan udah di tv aja jangan di setiap aplikasi iklan nya pasti elu Cape tau GK mencet tombol X yang saking kecil nya Segede kuman mencet tombol malah masuk aplikasinya jangan maksa lah kalo iklan kan gw juga lagi pake aplikasi lain malah malah lu muncul iklan nya yang ganggu banget Udah lah kalo iklan di tv aja maksimal youtub Uda itu aja,untuk belanja online lumayan bagus dan tidak ada kendala teruntuk shopee kalo iklan udah di tv aja jangan di setiap aplikasi iklan nya pasti elu cape tau gk mencet tombol x yang saking kecil nya segede kuman mencet tombol malah masuk aplikasinya jangan maksa lah kalo iklan kan gw juga lagi pake aplikasi lain malah malah lu muncul iklan nya yang ganggu banget udah lah kalo iklan di tv aja maksimal youtub uda itu aja,untuk belanja online lumayan bagus dan tidak ada kendala teruntuk shopee kalau iklan sudah di tv saja jangan di setiap aplikasi iklan ya pasti lu capek tau tidak mencet tombol kali yang saking kecil ya segede kuman mencet tombol malah masuk aplikasinya jangan maksa lah kalau iklan kan gue juga lagi pakai aplikasi lain malah malah kamu muncul iklan ya yang ganggu banget sudah lah kalau iklan di tv saja maksimal youtub sudah itu saja,"['untuk', 'belanja', 'online', 'lumayan', 'bagus', 'dan', 'tidak', 'ada', 'kendala', 'teruntuk', 'shopee', 'kalau', 'iklan', 'sudah', 'di', 'tv', 'saja', 'jangan', 'di', 'setiap', 'aplikasi', 'iklan', 'ya', 'pasti', 'lu', 'capek', 'tau', 'tidak', 'mencet', 'tombol', 'kali', 'yang', 'saking', 'kecil', 'ya', 'segede', 'kuman', 'mencet', 'tombol', 'malah', 'masuk', 'aplikasinya', 'jangan', 'maksa', 'lah', 'kalau', 'iklan', 'kan', 'gue', 'juga', 'lagi', 'pakai', 'aplikasi', 'lain', 'malah', 'malah', 'kamu', 'muncul', 'iklan', 'ya', 'yang', 'ganggu', 'banget', 'sudah', 'lah', 'kalau', 'iklan', 'di', 'tv', 'saja', 'maksimal', 'youtub', 'sudah', 'itu', 'saja']","['belanja', 'online', 'lumayan', 'bagus', 'kendala', 'teruntuk', 'shopee', 'iklan', 'tv', 'aplikasi', 'iklan', 'ya', 'lu', 'capek', 'tau', 'mencet', 'tombol', 'kali', 'saking', 'ya', 'segede', 'kuman', 'mencet', 'tombol', 'masuk', 'aplikasinya', 'maksa', 'iklan', 'gue', 'pakai', 'aplikasi', 'muncul', 'iklan', 'ya', 'ganggu', 'banget', 'iklan', 'tv', 'maksimal', 'youtub']",belanja online lumayan bagus kendala untuk shopee iklan tv aplikasi iklan ya lu capek tau mencet tombol kali saking ya gede kuman mencet tombol masuk aplikasi maksa iklan gue pakai aplikasi muncul iklan ya ganggu banget iklan tv maksimal youtub,negatif
2025-07-10 12:47:14,Pengguna Google,5,Memuaskan,Memuaskan,memuaskan,memuaskan,['memuaskan'],['memuaskan'],muas,positif
2025-07-10 12:46:42,Pengguna Google,5,"maju terus !!! shopee dapat mempermudah kebutuhan, dan terpercaya .",maju terus  shopee dapat mempermudah kebutuhan dan terpercaya ,maju terus  shopee dapat mempermudah kebutuhan dan terpercaya ,maju terus shopee dapat mempermudah kebutuhan dan terpercaya,"['maju', 'terus', 'shopee', 'dapat', 'mempermudah', 'kebutuhan', 'dan', 'terpercaya']","['maju', 'shopee', 'mempermudah', 'kebutuhan', 'terpercaya']",maju shopee mudah butuh percaya,Positif
2025-07-10 12:46:35,Pengguna Google,1,"makin kemari shopee makin jadi aja, jadi bladud maksudnya, parah parah ! kalo di ceritain mah panjang, pada rasain aja dah masing",makin kemari shopee makin jadi aja jadi bladud maksudnya parah parah  kalo di ceritain mah panjang pada rasain aja dah masing,makin kemari shopee makin jadi aja jadi bladud maksudnya parah parah  kalo di ceritain mah panjang pada rasain aja dah masing,makin kemari shopee makin jadi saja jadi bladud maksudnya parah parah kalau di ceritain mah panjang pada merasai saja sudah masing,"['makin', 'kemari', 'shopee', 'makin', 'jadi', 'saja', 'jadi', 'bladud', 'maksudnya', 'parah', 'parah', 'kalau', 'di', 'ceritain', 'mah', 'panjang', 'pada', 'merasai', 'saja', 'sudah', 'masing']","['kemari', 'shopee', 'bladud', 'maksudnya', 'parah', 'parah', 'ceritain', 'mah', 'merasai']",kemari shopee bladud maksud parah parah ceritain mah rasai,negatif
2025-07-10 12:46:25,Pengguna Google,5,"bagus pelayanan cepat dan amanah,,, cek keranjang kuning",bagus pelayanan cepat dan amanah cek keranjang kuning,bagus pelayanan cepat dan amanah cek keranjang kuning,bagus pelayanan cepat dan amanah cek keranjang kuning,"['bagus', 'pelayanan', 'cepat', 'dan', 'amanah', 'cek', 'keranjang', 'kuning']","['bagus', 'pelayanan', 'cepat', 'amanah', 'cek', 'keranjang', 'kuning']",bagus layan cepat amanah cek keranjang kuning,negatif
2025-07-10 12:46:12,Pengguna Google,5,Aplikasi terpercaya (Recommended),Aplikasi terpercaya Recommended,aplikasi terpercaya recommended,aplikasi terpercaya recommended,"['aplikasi', 'terpercaya', 'recommended']","['aplikasi', 'terpercaya', 'recommended']",aplikasi percaya recommended,Negatif
2025-07-10 12:44:47,Pengguna Google,5,Thanks Shopee ini baru buka Akun,Thanks Shopee ini baru buka Akun,thanks shopee ini baru buka akun,thanks shopee ini baru buka akun,"['thanks', 'shopee', 'ini', 'baru', 'buka', 'akun']","['thanks', 'shopee', 'buka', 'akun']",thanks shopee buka akun,positif
2025-07-10 12:44:43,Pengguna Google,5,saya suka,saya suka,saya suka,saya suka,"['saya', 'suka']",['suka'],suka,Positif
2025-07-10 12:44:35,Pengguna Google,1,"lemot sekarang, sering ga bener",lemot sekarang sering ga bener,lemot sekarang sering ga bener,lemot sekarang sering tidak benar,"['lemot', 'sekarang', 'sering', 'tidak', 'benar']",['lemot'],lot,negatif
2025-07-10 12:44:19,Pengguna Google,1,sudah sering pesan di shopee barang tiba tidak sesuai waktu kadang lewat berhari hari dari batas waktu yg sudah di tentukan,sudah sering pesan di shopee barang tiba tidak sesuai waktu kadang lewat berhari hari dari batas waktu yg sudah di tentukan,sudah sering pesan di shopee barang tiba tidak sesuai waktu kadang lewat berhari hari dari batas waktu yg sudah di tentukan,sudah sering pesan di shopee barang tiba tidak sesuai waktu kadang lewat berhari hari dari batas waktu yang sudah di tentukan,"['sudah', 'sering', 'pesan', 'di', 'shopee', 'barang', 'tiba', 'tidak', 'sesuai', 'waktu', 'kadang', 'lewat', 'berhari', 'hari', 'dari', 'batas', 'waktu', 'yang', 'sudah', 'di', 'tentukan']","['pesan', 'shopee', 'barang', 'sesuai', 'kadang', 'berhari', 'batas', 'tentukan']",pesan shopee barang sesuai kadang hari batas tentu,Negatif
2025-07-10 12:44:11,Pengguna Google,5,membantu dalam segala hal. terima kasih sudah menjadi bagian dari saya.,membantu dalam segala hal terima kasih sudah menjadi bagian dari saya,membantu dalam segala hal terima kasih sudah menjadi bagian dari saya,membantu dalam segala hal terima kasih sudah menjadi bagian dari saya,"['membantu', 'dalam', 'segala', 'hal', 'terima', 'kasih', 'sudah', 'menjadi', 'bagian', 'dari', 'saya']","['membantu', 'terima', 'kasih']",bantu terima kasih,positif
2025-07-10 12:44:01,Pengguna Google,1,kenapa sih tiap buka aplikasi lagsung ke reels shopee kenapa ga ke beranda aja bikin ribet,kenapa sih tiap buka aplikasi lagsung ke reels shopee kenapa ga ke beranda aja bikin ribet,kenapa sih tiap buka aplikasi lagsung ke reels shopee kenapa ga ke beranda aja bikin ribet,kenapa sih tiap buka aplikasi lagsung ke reels shopee kenapa tidak ke beranda saja bikin ribet,"['kenapa', 'sih', 'tiap', 'buka', 'aplikasi', 'lagsung', 'ke', 'reels', 'shopee', 'kenapa', 'tidak', 'ke', 'beranda', 'saja', 'bikin', 'ribet']","['sih', 'buka', 'aplikasi', 'lagsung', 'reels', 'shopee', 'beranda', 'bikin', 'ribet']",sih buka aplikasi lagsung reels shopee beranda bikin ribet,negatif
2025-07-10 12:42:50,Pengguna Google,5,"saya mau beli produk dengan harga total 150.000, saldo shopeepay saya 160.000, tapi saldo shopeepay tidak bisa digunakan, ternyata ada persyaratan persyaratan nyeleneh untuk membayar menggunakan shopee pay kayak saldo ga boleh mepet atau apalah, mempersulit mau membayar saja. saya masih kasih bintang 5 karena masih ada poin plus yaitu diskon nya banyak.",saya mau beli produk dengan harga total  saldo shopeepay saya  tapi saldo shopeepay tidak bisa digunakan ternyata ada persyaratan persyaratan nyeleneh untuk membayar menggunakan shopee pay kayak saldo ga boleh mepet atau apalah mempersulit mau membayar saja saya masih kasih bintang  karena masih ada poin plus yaitu diskon nya banyak,saya mau beli produk dengan harga total  saldo shopeepay saya  tapi saldo shopeepay tidak bisa digunakan ternyata ada persyaratan persyaratan nyeleneh untuk membayar menggunakan shopee pay kayak saldo ga boleh mepet atau apalah mempersulit mau membayar saja saya masih kasih bintang  karena masih ada poin plus yaitu diskon nya banyak,saya mau beli produk dengan harga total saldo shopeepay saya tapi saldo shopeepay tidak bisa digunakan ternyata ada persyaratan persyaratan nyeleneh untuk membayar menggunakan shopee pay kayak saldo tidak boleh mepet atau apalah mempersulit mau membayar saja saya masih kasih bintang karena masih ada poin plus yaitu diskon ya banyak,"['saya', 'mau', 'beli', 'produk', 'dengan', 'harga', 'total', 'saldo', 'shopeepay', 'saya', 'tapi', 'saldo', 'shopeepay', 'tidak', 'bisa', 'digunakan', 'ternyata', 'ada', 'persyaratan', 'persyaratan', 'nyeleneh', 'untuk', 'membayar', 'menggunakan', 'shopee', 'pay', 'kayak', 'saldo', 'tidak', 'boleh', 'mepet', 'atau', 'apalah', 'mempersulit', 'mau', 'membayar', 'saja', 'saya', 'masih', 'kasih', 'bintang', 'karena', 'masih', 'ada', 'poin', 'plus', 'yaitu', 'diskon', 'ya', 'banyak']","['beli', 'produk', 'harga', 'total', 'saldo', 'shopeepay', 'saldo', 'shopeepay', 'persyaratan', 'persyaratan', 'nyeleneh', 'membayar', 'shopee', 'pay', 'kayak', 'saldo', 'mepet', 'apalah', 'mempersulit', 'membayar', 'kasih', 'bintang', 'poin', 'plus', 'diskon', 'ya']",beli produk harga total saldo shopeepay saldo shopeepay syarat syarat nyeleneh bayar shopee pay kayak saldo mepet apa sulit bayar kasih bintang poin plus diskon ya,positif
2025-07-10 12:42:40,Pengguna Google,5,"komplit, mudah dan terpercaya",komplit mudah dan terpercaya,komplit mudah dan terpercaya,komplit mudah dan terpercaya,"['komplit', 'mudah', 'dan', 'terpercaya']","['komplit', 'mudah', 'terpercaya']",komplit mudah percaya,positif
2025-07-10 12:41:18,Pengguna Google,5,mantap😁,mantap,mantap,mantap,['mantap'],['mantap'],mantap,positif
2025-07-10 12:39:49,Pengguna Google,5,sampai saat ini pengiriman baik dan tepat waktu.,sampai saat ini pengiriman baik dan tepat waktu,sampai saat ini pengiriman baik dan tepat waktu,sampai saat ini pengiriman baik dan tepat waktu,"['sampai', 'saat', 'ini', 'pengiriman', 'baik', 'dan', 'tepat', 'waktu']",['pengiriman'],kirim,positif
2025-07-10 12:39:47,Pengguna Google,5,sangat membantu kebutuhan sehari-hari dr rumah tangga sampai keperluan pekerjaan...dn bnyak gratis ongkir nya...trims.shopie,sangat membantu kebutuhan seharihari dr rumah tangga sampai keperluan pekerjaandn bnyak gratis ongkir nyatrimsshopie,sangat membantu kebutuhan seharihari dr rumah tangga sampai keperluan pekerjaandn bnyak gratis ongkir nyatrimsshopie,sangat membantu kebutuhan seharihari dari rumah tangga sampai keperluan pekerjaandn banyak gratis ongkir nyatrimsshopie,"['sangat', 'membantu', 'kebutuhan', 'seharihari', 'dari', 'rumah', 'tangga', 'sampai', 'keperluan', 'pekerjaandn', 'banyak', 'gratis', 'ongkir', 'nyatrimsshopie']","['membantu', 'kebutuhan', 'seharihari', 'rumah', 'tangga', 'keperluan', 'pekerjaandn', 'gratis', 'ongkir', 'nyatrimsshopie']",bantu butuh seharihari rumah tangga perlu pekerjaandn gratis ongkir nyatrimsshopie,positif
2025-07-10 12:39:40,Pengguna Google,5,bagus banget puas belanja di shopee kerna. barang sellu sesuwai dtan,bagus banget puas belanja di shopee kerna barang sellu sesuwai dtan,bagus banget puas belanja di shopee kerna barang sellu sesuwai dtan,bagus banget puas belanja di shopee kerna barang sellu sesuwai dtan,"['bagus', 'banget', 'puas', 'belanja', 'di', 'shopee', 'kerna', 'barang', 'sellu', 'sesuwai', 'dtan']","['bagus', 'banget', 'puas', 'belanja', 'shopee', 'kerna', 'barang', 'sellu', 'sesuwai', 'dtan']",bagus banget puas belanja shopee kerna barang sellu sesuwai dtan,positif
2025-07-10 12:39:32,Pengguna Google,1,ini ke dua kalinya gua beli barang di shope 2 yg sampe cuma 1. repotnya klo gak ada video unbox angus gtu aja. bikin mls belanja di shope.,ini ke dua kalinya gua beli barang di shope  yg sampe cuma  repotnya klo gak ada video unbox angus gtu aja bikin mls belanja di shope,ini ke dua kalinya gua beli barang di shope  yg sampe cuma  repotnya klo gak ada video unbox angus gtu aja bikin mls belanja di shope,ini ke dua kalinya gua beli barang di shope yang sampai cuma repotnya kalau tidak ada video unbox angus begitu saja bikin mls belanja di shope,"['ini', 'ke', 'dua', 'kalinya', 'gua', 'beli', 'barang', 'di', 'shope', 'yang', 'sampai', 'cuma', 'repotnya', 'kalau', 'tidak', 'ada', 'video', 'unbox', 'angus', 'begitu', 'saja', 'bikin', 'mls', 'belanja', 'di', 'shope']","['kalinya', 'gua', 'beli', 'barang', 'shope', 'repotnya', 'video', 'unbox', 'angus', 'bikin', 'mls', 'belanja', 'shope']",kali gua beli barang shope repot video unbox angus bikin mls belanja shope,negatif
2025-07-10 12:38:36,Pengguna Google,5,aplikasi shopee ini sangat membantu saya membeli apa yg tidak ada di offline di shopee ada...dan koinnya membantu saya meringankan pembayaran.... terimakasih shopee...,aplikasi shopee ini sangat membantu saya membeli apa yg tidak ada di offline di shopee adadan koinnya membantu saya meringankan pembayaran terimakasih shopee,aplikasi shopee ini sangat membantu saya membeli apa yg tidak ada di offline di shopee adadan koinnya membantu saya meringankan pembayaran terimakasih shopee,aplikasi shopee ini sangat membantu saya membeli apa yang tidak ada di offline di shopee adadan koinnya membantu saya meringankan pembayaran terimakasih shopee,"['aplikasi', 'shopee', 'ini', 'sangat', 'membantu', 'saya', 'membeli', 'apa', 'yang', 'tidak', 'ada', 'di', 'offline', 'di', 'shopee', 'adadan', 'koinnya', 'membantu', 'saya', 'meringankan', 'pembayaran', 'terimakasih', 'shopee']","['aplikasi', 'shopee', 'membantu', 'membeli', 'offline', 'shopee', 'adadan', 'koinnya', 'membantu', 'meringankan', 'pembayaran', 'terimakasih', 'shopee']",aplikasi shopee bantu beli offline shopee adad koin bantu ringan bayar terimakasih shopee,Positif
2025-07-10 12:37:18,Pengguna Google,1,jasa kirim lambat!,jasa kirim lambat,jasa kirim lambat,jasa kirim lambat,"['jasa', 'kirim', 'lambat']","['jasa', 'kirim', 'lambat']",jasa kirim lambat,positif
2025-07-10 12:36:43,Pengguna Google,5,mantaplah,mantaplah,mantaplah,mantaplah,['mantaplah'],['mantaplah'],mantap,positif
2025-07-10 12:35:47,Pengguna Google,5,"Cepat,barang asli original murah",Cepatbarang asli original murah,cepatbarang asli original murah,cepatbarang asli original murah,"['cepatbarang', 'asli', 'original', 'murah']","['cepatbarang', 'asli', 'original', 'murah']",cepatbarang asli original murah,positif
2025-07-10 12:35:20,Pengguna Google,5,pesanan sesuai dan saya sangat puas terima kasih shopee,pesanan sesuai dan saya sangat puas terima kasih shopee,pesanan sesuai dan saya sangat puas terima kasih shopee,pesanan sesuai dan saya sangat puas terima kasih shopee,"['pesanan', 'sesuai', 'dan', 'saya', 'sangat', 'puas', 'terima', 'kasih', 'shopee']","['pesanan', 'sesuai', 'puas', 'terima', 'kasih', 'shopee']",pesan sesuai puas terima kasih shopee,positif
2025-07-10 12:35:16,Pengguna Google,5,"sangat baik, untuk berbelanja",sangat baik untuk berbelanja,sangat baik untuk berbelanja,sangat baik untuk berbelanja,"['sangat', 'baik', 'untuk', 'berbelanja']",['berbelanja'],belanja,Negatif
2025-07-10 12:35:09,Pengguna Google,3,sekarang bingung milih expedisinya..saran benerin untuk layanan SPX nya..,sekarang bingung milih expedisinyasaran benerin untuk layanan SPX nya,sekarang bingung milih expedisinyasaran benerin untuk layanan spx nya,sekarang bingung memilih expedisinyasaran benerin untuk layanan spx ya,"['sekarang', 'bingung', 'memilih', 'expedisinyasaran', 'benerin', 'untuk', 'layanan', 'spx', 'ya']","['bingung', 'memilih', 'expedisinyasaran', 'benerin', 'layanan', 'spx', 'ya']",bingung pilih expedisinyasaran benerin layan spx ya,Positif
2025-07-10 12:34:50,Pengguna Google,5,terima sopee indonesia..,terima sopee indonesia,terima sopee indonesia,terima sopee indonesia,"['terima', 'sopee', 'indonesia']","['terima', 'sopee', 'indonesia']",terima sopee indonesia,positif
2025-07-10 12:34:40,Pengguna Google,1,jaringan nya selalu lemot mulu,jaringan nya selalu lemot mulu,jaringan nya selalu lemot mulu,jaringan ya selalu lemot mulu,"['jaringan', 'ya', 'selalu', 'lemot', 'mulu']","['jaringan', 'ya', 'lemot', 'mulu']",jaring ya lot mulu,positif
2025-07-10 12:34:03,Pengguna Google,5,Barang sudah diterima dengan kondisi baik.,Barang sudah diterima dengan kondisi baik,barang sudah diterima dengan kondisi baik,barang sudah diterima dengan kondisi baik,"['barang', 'sudah', 'diterima', 'dengan', 'kondisi', 'baik']","['barang', 'diterima', 'kondisi']",barang terima kondisi,positif
2025-07-10 12:33:52,Pengguna Google,5,uppp,uppp,uppp,uppp,['uppp'],['uppp'],uppp,Negatif
2025-07-10 12:32:37,Pengguna Google,5,barang bagus pelayanan terbaik,barang bagus pelayanan terbaik,barang bagus pelayanan terbaik,barang bagus pelayanan terbaik,"['barang', 'bagus', 'pelayanan', 'terbaik']","['barang', 'bagus', 'pelayanan', 'terbaik']",barang bagus layan baik,Positif
2025-07-10 12:32:28,Pengguna Google,5,barang sesuai pesanan trimakasih🙏,barang sesuai pesanan trimakasih,barang sesuai pesanan trimakasih,barang sesuai pesanan trimakasih,"['barang', 'sesuai', 'pesanan', 'trimakasih']","['barang', 'sesuai', 'pesanan', 'trimakasih']",barang sesuai pesan trimakasih,positif
2025-07-10 12:31:48,Pengguna Google,3,"kelamaan di perjalanan, nyampenya bisa sampai 2 Minggu.",kelamaan di perjalanan nyampenya bisa sampai  Minggu,kelamaan di perjalanan nyampenya bisa sampai  minggu,kelamaan di perjalanan sampainya bisa sampai minggu,"['kelamaan', 'di', 'perjalanan', 'sampainya', 'bisa', 'sampai', 'minggu']","['perjalanan', 'sampainya', 'minggu']",jalan sampai minggu,Negatif
